cleaned_text,compound_score,predictedSentiment_vaders,predictedSentiment_naiveBayes,predictedEmotion_nb,predictedSentiment_svm,predictedEmotion_svm
අරගලයටජය reformsrilanka ranilrajapaksa srilankaprotests srilankacrisis gohomerajapaksas,0.0,0,1.0,1,0.0,3
mother child caught face protestors police galle face images selladurai krishna kumar news cutter lka lknews slnews srilanka srilankaeconomiccrisis srilankaprotests srilankancrisis srilankacrisis economiccrisislk,0.0,0,0.0,0,0.0,1
srilankaprotests fbwatchg2y9auq4xq innocent mother little child dragged protest site police colombo sri lanka marylawlorhrds ohchrasia ungeneva amnesty hrw germanyinsl unicef humanrights srilanka srilankacrisis,0.1226,1,-1.0,1,1.0,1
tense situation reported galle face images selladurai krishna kumar news cutter lka lknews slnews srilanka srilankaeconomiccrisis srilankaprotests srilankancrisis srilankacrisis economiccrisislk,-0.34,-1,0.0,0,0.0,3
tense situation reported galle face visual selladurai krishna kumar news cutter lka lknews slnews srilanka srilankaeconomiccrisis srilankaprotests srilankancrisis srilankacrisis economiccrisislk,-0.34,-1,-1.0,4,0.0,3
tense situation reported galle face newscutterlksrilankanews… lknews slnews srilanka srilankaeconomiccrisis srilankaprotests srilankancrisis srilankacrisis economiccrisislk,-0.34,-1,-1.0,4,0.0,3
president rwunp says prior next election intends reducing number council members pradeshiya sabhas municipal councils urban councils 8000 4000 also implement jana sabha programme lka srilankacrisis,0.0772,1,0.0,5,1.0,3
srilanka performance srilankacrisis srilankaeconomiccrisis,0.0,0,0.0,1,0.0,3
මේගොල්ලන්ව දන්නවාද 13 වෙනිදාඔබගේ ෆෝන් එකේදි මේ කියන කතාවේ සම්පුර්ණ විස්තරේ බලන්න facebookcomprofilephpid… අටපාස් lifeඑකගොඩයන්න ළඟදීම srilankan srilankaeconomiccrisis srilankacrisis srilanka lka,0.0,0,0.0,1,0.0,3
රාජ්‍ය ආයතන ප්‍රතිව්‍යුහ ගත කරනවා කියලා ගජ මිතුරන්ට දීලාslppකඩා වැටීමකෝප් ඇතුලේ තත්වයලංකාදීප රතුකට්ට අශන්ති වරුණසුරියකෝප් කමිටුවේ හිටපු සභාපති මහාචාර්ය චරිත හේරත් සමඟ invidiouspoastorg4hdvbmzs02s fbwatchg2nfgsabui lka slnews srilankan srilankacrisis aragalaya protest,0.0,0,1.0,0,0.0,3
කළ වැරදි අසීමිතයි පුංචි මොළ නිසා පක්‍ෂය කඩා වැටුණා invidiouspoastorg4hdvbmzs02s slpp කඩා වැටීම සහ කෝප් ගැන හෙළිකළ කරුණු රැසක් rathu katta ashanthi warunasuriya prf charitha herath fbwatchg2nfgsabui lka srilankaeconomiccrisis srilankacrisis srilanka charith9,0.0,0,0.0,1,0.0,3
system change lifetime islandlksystemchangenot… article mine expressing lack hope witnessing way country governed nothing changed despite events april july srilankacrisis corruption gotagohome systemchange,0.2244,1,0.0,4,0.0,3
aide whispered correct mentioned mr gotabaya rajapaksa president sri lankas expm mahinda rajapaksa addresses first public meeting since resignation may thehinducomnewsinternatio… srilankacrisis,-0.296,-1,0.0,4,0.0,3
dont miss todays exciting important discussion peoples councils developing srilanka build peoples power beyond parliament aragalaya srilankacrisis srilankaprotests,-0.1719,-1,1.0,1,1.0,3
key developments expected president ’ visit india lka srilanka india visit discussion politics srilankacrisis economy crisislk rwunp narendramodi indiainsl,0.0,0,1.0,5,-1.0,1
ruining country support person trying dig us hopeing credit rubs guess else go people need make sure ’ forget srilankacrisis,0.7935,1,-1.0,1,1.0,3
solheim visit sl lka srilanka eriksolheim norway economy srilankacrisis rwunp eriksolheim,0.0,0,0.0,1,0.0,3
telangana government kcr became budget deficit state surplus budget state im 2014 soon kcr brsparty make telangana another srilankacrisis situation ne babu kcr chappada ra erripappa nayalaa,-0.4019,-1,0.0,1,0.0,1
ජීවිතේ මල් වෙයිද 13 වෙනිදා ඔබගේ ෆෝන් එකේදි මේ කියන කතාවේ සම්පුර්ණ විස්තරේ බලන්න facebookcomprofilephpid… අටපාස් lifeඑකගොඩයන්න ළඟදීම srilankacricket srilanka srilankan srilankaeconomiccrisis srilankacrisis lka,0.0,0,0.0,1,0.0,3
ceylon today cartoon lka srilanka economiccrisislk srilankacrisis cope corruptionlk,0.0,0,0.0,0,0.0,4
இலங்கை ஊடாக இந்தியாவுக்கு தாக்குதல் விபரங்களுக்கு bitly3eycz7b sooriyanfm sooriyannews hirunews srilanka india srilankacrisis slnews lka,0.0,0,0.0,1,0.0,3
math gymnastics back different narratives makes absolutely sense must discouraged sake healthy political conversations srilanka srilankacrisis unhrc,-0.3597,-1,-1.0,0,-1.0,3
lot math gymnastics last week new unhrc resolution human rights situation sri lanka big ❌ srilankacrisis unhrc humanrights,-0.7456,-1,1.0,1,1.0,4
වැඩි විස්තර bitly3smreiy අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,1.0,1,0.0,3
උඩුවේ ධම්මාලෝක හිමියන්ට අධිකරණයේ නියෝගයක් bottomline sri lanka news වැඩි විස්තර bitly3fl3unp අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
උද්ධමනය පහළට bottomline sri lanka news වැඩි විස්තර bitly3gm7dom අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
නව අයවැය 14 වනදා පාර්ලිමේන්තුවට bottomline sri lanka news වැඩි විස්තර bitly3u6pjqm අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
පාසල් සිසුන් අතර මත්ද්‍රව්‍ය ව්‍යාප්තිය වැළැක්වීමට කමිටුවක් bottomline sri lanka news වැඩි විස්තර bitly3nsjnrq අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
රට ගිනි තිබ්බත් රට පාලනය කරන උන්ට මිනිස්සු ගැන ගානක් නෑ newsdare24 සම්පුර්ණ වීඩියෝව නැරඹීමට invidiouspoastorglp0qrbgbk newsdare24 newsdare newsdare24 hotnews trendynews srilankanews slnews sl srilanka,0.0,0,0.0,0,0.0,3
අද මධ්‍යම රාත්‍රියේ සිට පාන් මිල පහළට bottomline sri lanka news වැඩි විස්තර bitly3u1esm6 අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
name democracy morning sri lanka news themorninglkinthenameof…,0.0,0,1.0,1,0.0,3
දකුණේ ඝාතන රැල්ලට තවත් ජීවිත දෙකක් බිලිවෙයි bottomline sri lanka news වැඩි විස්තර bitly3fr0v1v අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
ඉන්දියාවේ පාලමක් කඩා වැටේ newsdare24 indiabridgecollapsed newsdare24 newsdare newsdare24 hotnews trendynews srilankanews slnews sl srilanka,0.0,0,0.0,0,0.0,3
21ට කතානායක අත්සන් තබයි bottomline sri lanka news වැඩි විස්තර bitly3skazau අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
இரட்டை குடியுரிமை கொண்ட நாடாளுமன்ற உறுப்பினர்கள் யார் தயார் நிலையில் விசாரணை அறிக்கை விபரங்களுக்குbitly3gyjech sooriyanfm sooriyannews hirunews truthatallcosts dualcitizenship 22ndamendment srilankanews slnews lka,0.0,0,1.0,1,0.0,3
ලංකාවේ ඩිස්නිලන්තයක් හදන්න අදහසක් නැහැ ඩිස්නි සමාගම කියයි bottomline sri lanka news වැඩි විස්තර bitly3fs4rwd අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
අරගලයෙන් හානි වූ ජනපති මැදුර අළුත්වැඩියාවට මිලියන 350 ඉක්මවයි වියදම මහජන මුදලින් bottomline sri lanka news වැඩි විස්තර bitly3shhvit අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews sril…,0.0,0,0.0,1,0.0,3
හික්කඩුවේ වෙඩි තැබීමක් bottomline sri lanka news වැඩි විස්තර bitly3nnj6nh අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
පේදුරුතුඩුව මුහුදෙන් දිස් වූ ටොනාඩෝව newsdare24 සම්පුර්ණ වීඩියෝව නරඹන්නinvidiouspoastorgf6twhlawqa pointpedro newsdare24 newsdare newsdare24 hotnews trendynews srilankanews slnews sl srilanka,0.0,0,0.0,0,0.0,3
දිස්ත්‍රික් තුනකට අනතුරු ඇඟවීම් bottomline sri lanka news වැඩි විස්තර bitly3dlynjx අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
අනිල් ජාසිංහට නව තනතුරක් bottomline sri lanka news වැඩි විස්තර bitly3wk2rw3 අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
වැඩි විස්තර bitly3smreiy අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,1.0,1,0.0,3
උඩුවේ ධම්මාලෝක හිමියන්ට අධිකරණයේ නියෝගයක් bottomline sri lanka news වැඩි විස්තර bitly3fl3unp අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
උද්ධමනය පහළට bottomline sri lanka news වැඩි විස්තර bitly3gm7dom අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
නව අයවැය 14 වනදා පාර්ලිමේන්තුවට bottomline sri lanka news වැඩි විස්තර bitly3u6pjqm අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
පාසල් සිසුන් අතර මත්ද්‍රව්‍ය ව්‍යාප්තිය වැළැක්වීමට කමිටුවක් bottomline sri lanka news වැඩි විස්තර bitly3nsjnrq අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
රට ගිනි තිබ්බත් රට පාලනය කරන උන්ට මිනිස්සු ගැන ගානක් නෑ newsdare24 සම්පුර්ණ වීඩියෝව නැරඹීමට invidiouspoastorglp0qrbgbk newsdare24 newsdare newsdare24 hotnews trendynews srilankanews slnews sl srilanka,0.0,0,0.0,0,0.0,3
අද මධ්‍යම රාත්‍රියේ සිට පාන් මිල පහළට bottomline sri lanka news වැඩි විස්තර bitly3u1esm6 අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
name democracy morning sri lanka news themorninglkinthenameof…,0.0,0,1.0,1,0.0,3
දකුණේ ඝාතන රැල්ලට තවත් ජීවිත දෙකක් බිලිවෙයි bottomline sri lanka news වැඩි විස්තර bitly3fr0v1v අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
ඉන්දියාවේ පාලමක් කඩා වැටේ newsdare24 indiabridgecollapsed newsdare24 newsdare newsdare24 hotnews trendynews srilankanews slnews sl srilanka,0.0,0,0.0,0,0.0,3
21ට කතානායක අත්සන් තබයි bottomline sri lanka news වැඩි විස්තර bitly3skazau අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
இரட்டை குடியுரிமை கொண்ட நாடாளுமன்ற உறுப்பினர்கள் யார் தயார் நிலையில் விசாரணை அறிக்கை விபரங்களுக்குbitly3gyjech sooriyanfm sooriyannews hirunews truthatallcosts dualcitizenship 22ndamendment srilankanews slnews lka,0.0,0,1.0,1,0.0,3
ලංකාවේ ඩිස්නිලන්තයක් හදන්න අදහසක් නැහැ ඩිස්නි සමාගම කියයි bottomline sri lanka news වැඩි විස්තර bitly3fs4rwd අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
අරගලයෙන් හානි වූ ජනපති මැදුර අළුත්වැඩියාවට මිලියන 350 ඉක්මවයි වියදම මහජන මුදලින් bottomline sri lanka news වැඩි විස්තර bitly3shhvit අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews sril…,0.0,0,0.0,1,0.0,3
හික්කඩුවේ වෙඩි තැබීමක් bottomline sri lanka news වැඩි විස්තර bitly3nnj6nh අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
පේදුරුතුඩුව මුහුදෙන් දිස් වූ ටොනාඩෝව newsdare24 සම්පුර්ණ වීඩියෝව නරඹන්නinvidiouspoastorgf6twhlawqa pointpedro newsdare24 newsdare newsdare24 hotnews trendynews srilankanews slnews sl srilanka,0.0,0,0.0,0,0.0,3
දිස්ත්‍රික් තුනකට අනතුරු ඇඟවීම් bottomline sri lanka news වැඩි විස්තර bitly3dlynjx අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
අනිල් ජාසිංහට නව තනතුරක් bottomline sri lanka news වැඩි විස්තර bitly3wk2rw3 අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
එන්නත් මිලියන ගණනක් අද කල් ඉකුත් වෙයි bottomline sri lanka news වැඩි විස්තර bitly3dmelze අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttz6tbk0p ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
பாணின் விலை இன்று குறைகிறது விபரங்களுக்கு bitly3doo43g sooriyanfm sooriyannews hirunews truthatallcosts breadprice bread srilankanews slnews lka,0.0,0,1.0,0,0.0,3
සෝමාලියාවේ බෝම්බ පිපිරීමකින් 100ක් මරුට bottomline sri lanka news වැඩි විස්තර bitly3dnwehn අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttaq6tn5w ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
පාන් මිල ගැන තීරණය අද bottomline sri lanka news වැඩි විස්තර bitly3uszxbp අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttaq6tn5w ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
වැසි තත්ත්වයේ වැඩිවීමක් bottomline sri lanka news වැඩි විස්තර bitly3fmrhtz අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttaq6tn5w ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
සෝල්හි හැලොවීන් සාදය අතරතුර මියගිය පිරිස අතර ශ්‍රී ලාංකිකයෙක් bottomline sri lanka news වැඩි විස්තර bitly3ztnzkh අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttaq6tn5w ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
149කට දිවි අහිමි කළ දකුණු කොරියාවේ හැලොවීන් සාදය bottomline sri lanka news වැඩි විස්තර bitly3fdl4e4 අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttaq6tn5w ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
pavara rakhith talks planets dinosaurs morning sri lanka news themorninglkpavararakhith… dinosaurs,0.0,0,0.0,1,0.0,3
පහළ වායුගෝලයෙහි කැලඹීමක් යළිත් වැසි bottomline sri lanka news වැඩි විස්තර bitly3skrue5 අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
නිදහස් දා ජාතික ගීයේ වෙනසක් bottomline sri lanka news වැඩි විස්තර bitly3ucvkgh අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
නවසීලන්තය ජයගනියි bottomline sri lanka news වැඩි විස්තර bitly3tyxjvg අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
ලෝක වෙළෙඳපොළේ බොරතෙල් මිල පහළට bottomline sri lanka news වැඩි විස්තර bitly3si0iww අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
පරිප්පුසීනි මිල තවදුරටත් පහළට bottomline sri lanka news වැඩි විස්තර bitly3tqnr4s අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
ලංකාවට ලකුණු 168ක ඉලක්කයක් bottomline sri lanka news වැඩි විස්තර bitly3ngbgax අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
තිහගොඩ දරුවාට වෙඩි වැදී මේ සිද්ධියට සම්බන්ධ si රිමාන්ඩ් bottomline sri lanka news වැඩි විස්තර bitly3u5qq2o අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
ජනප්‍රිය ඔක්ටපෑඩ් වාදකයා බිරිඳට ගැසූ පිහි පහරින් පුතා මරුට bottomline sri lanka news වැඩි විස්තර bitly3foaapz අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
කාසියේ වාසිය නවසීලන්තයට bottomline sri lanka news වැඩි විස්තර bitly3dnx4l0 අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
නව ඇමරිකානු තානාපති කාර්යාලය විවෘත කෙරේ bottomline sri lanka news වැඩි විස්තර bitly3gjajti අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
ත්‍රිවිධ හමුදා සාමාජිකයින්ට පොදු සමා කාලයක් bottomline sri lanka news වැඩි විස්තර bitly3ucz8mv අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
ඉලවාලි මුහුදේ නාඳුනන මළසිරුරක් bottomline sri lanka news වැඩි විස්තර bitly3zspvl1 අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
කොළඹ පුරපති තරගයට මුජිබර් bottomline sri lanka news වැඩි විස්තර bitly3dijktl අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
සහල් හිඟයක් ඇති වන්නේ නැහැ කෘෂිකර්ම අමාත්‍යාංශය bottomline sri lanka news වැඩි විස්තර bitly3fnqdna අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
siගේ තුවක්කුව පත්තු වී සිසුවෙකුට බලපතල තුවාල bottomline sri lanka news වැඩි විස්තර bitly3djzs6m අපගේ ‌පුවත් සේවාවන් wabitly3sf2zba tgiftttjn64lhr ytbitly3zsffjx bottomlinenews srilankanews sinhalanews,0.0,0,0.0,1,0.0,3
ගිනිඅවි ළඟ තබාගන්නන්ට ආරක්ෂක අමාත්‍යාංශයෙන් නිවේදනයක් bottomline sri lanka news වැඩි විස්තර bitly3ztlbzb අපගේ ‌පුවත් සේවාවන් iftttwabe8gm link iftttjn64lhr youtube invidiouspoastorgcbottomlinenews… bottomlinenews srilankanews sinhalane…,0.0,0,0.0,1,0.0,3
රන්ජන් ඇමරිකාවට bottomline sri lanka news වැඩි විස්තර bitly3ftz0v1 නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link iftttjn64lhr youtube …,0.4466,1,0.0,1,1.0,4
ප්‍රදේශ කිහිපයකට වැසි bottomline sri lanka news වැඩි විස්තර bitly3npla8c නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link iftttjn64lhr youtube…,0.4466,1,0.0,1,1.0,4
srilanka srilankanews primeglobal primeglobalnews shooting lka primeglobalnews20221029…,0.0,0,-1.0,1,0.0,3
අයවැයට තර්ජන bottomline sri lanka news වැඩි විස්තර bitly3ffhakf නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link ifttt2wyqgtk youtube …,0.4466,1,0.0,1,1.0,4
තිරිඟු පිටි මිල පහළට bottomline sri lanka news වැඩි විස්තර bitly3sluhkk නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link ifttt2wyqgtk youtube…,0.4466,1,0.0,1,1.0,4
ඉලෝන් මාස්ක් ට්විටර් මිලදී ගනී newsdare24 elonmusk twitter tesla newsdare24 newsdare newsdare24 hotnews trendynews srilankanews slnews sl srilanka,0.0,0,0.0,1,0.0,3
ඛනිජ තෙල් සංශෝධන පනත බලාත්මකයි bottomline sri lanka news වැඩි විස්තර bitly3sljhu4 නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link ifttt2wyqgtk…,0.4466,1,0.0,1,1.0,4
උඩරට මාර්ගයේ දුම්රිය ධාවනයට බාධා bottomline sri lanka news වැඩි විස්තර bitly3tmgrkn නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link …,0.4466,1,0.0,1,1.0,4
අයවැය දෙවරක් පරාජය වුනොත් ආණ්ඩුව විසුරවන්න වෙනවා මහාචාර්ය චන්න ජයසුමන newsdare24 drchannajayasumana newsdare24 newsdare newsdare24 hotnews trendynews srilankanews slnews sl srilanka,0.0,0,0.0,0,0.0,3
වනෝද්‍යයානවලට පෞද්ගලික වාහනවලින් ඇතුළුවීම තහනම් කෙරේ bottomline sri lanka news වැඩි විස්තර bitly3zqzyxt නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link …,0.4466,1,0.0,1,1.0,4
imf සමග තීරණාත්මක සාකච්ඡාවක් bottomline sri lanka news වැඩි විස්තර bitly3sfrmwc නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link ifttt2wyqgtk y…,0.4466,1,0.0,1,1.0,4
බේරේ වැවේ හැංගිලා හිටපු සෙට් එකට එළියට එන්න චාන්ස් එකක් දුන්නා invidiouspoastorgsgmhicuzsgq ravikumudesh lka voicetube srilanka politics srilankanews,0.0,0,0.0,3,0.0,3
රියදුරු බලපත්‍ර කාඩ්පත් මුද්‍රණය අරඹයි bottomline sri lanka news වැඩි විස්තර bitly3w7pvhk නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link …,0.4466,1,0.0,1,1.0,4
ළමා රෝහලේ කොටසක විදුලිය විසන්ධි කෙරේ bottomline sri lanka news වැඩි විස්තර bitly3foqyya නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link …,0.4466,1,0.0,1,1.0,4
සජබ වෘත්තීයවේදීන්ගේ සංගමය ඇරඹෙයි bottomline sri lanka news වැඩි විස්තර bitly3wbcfrr නවතම පුවත් දැනගැනීමට අපගේ ‌පුවත්ර සේවාවන්ට එක්වන්න ඔබේ හිතමිතුරන්ටත් share කරන්න whatsapp group iftttwabe8gm telegram channel link …,0.4466,1,0.0,1,1.0,4
invidiouspoastorgwatchvcd9cnzfj… rwunp podujanaparty diyawannakumariye aragalaya srilankacrisis srilanka lka corruption impunity oppression,0.0,0,0.0,1,0.0,3
meanwhile president says parliament 61000 families facing food insecurity sri lanka right literally everyone know cutting back food purchasingconsumption ’ expensive srilankacrisis,-0.5106,-1,-1.0,1,1.0,3
todays trending tags 3182022 25 8 cardanocommunity 9 nftcommunity 10 economiccrisislk 11 srilankacrisis 12 cardano 13 bangladesh 14 asiacup2022,0.0,0,0.0,1,0.0,3
food inflation ccpi 937 newscutterlksrilankanews… lka lknews slnews srilanka srilankaeconomiccrisis srilankaprotests srilankancrisis srilankacrisis economiccrisislk,0.0,0,-1.0,1,0.0,3
inflation srilanka month august soared 643 food inflation increased 937 dept census statistics srilankacrisis humanrights hunger foodscarcity malnutrition victorytopeople,0.2732,1,-1.0,5,0.0,3
